
29.095429 0.315125 -18.335056
30.018942 2.578886 -16.068158
31.162575 5.316682 -13.185436
32.140689 7.772762 -10.932355
33.349413 10.512937 -8.052320
34.626990 13.166662 -5.274056
35.843781 15.736493 -2.506466
37.068098 18.128666 0.062957
38.467258 21.020196 3.212142
39.525259 23.242212 5.635092
40.953652 26.026894 8.934787
41.828479 27.968751 11.109738
43.170352 30.736414 14.368483
44.475818 33.317517 17.345128
45.599449 35.549227 19.851115
46.796159 38.105202 22.701984
info
numpoints 16
useRealRAS 1
